Order_ID,Order_Date,Customer_ID,Platform,State,City
ORD00029,2025-11-28,CUST0025,Amazon,Kerala,Kochi
ORD00030,2025-09-27,CUST0003,Flipkart,Kerala,Kochi
ORD00031,2025-10-01,CUST0201,Shopsy,Karnataka,Mangaluru
ORD00032,2025-05-19,CUST0452,Meesho,Gujarat,Ahmedabad
ORD00033,2025-02-26,CUST0199,Amazon,Delhi,New Delhi
ORD00034,2025-12-04,CUST0171,Meesho,West Bengal,Kolkata
ORD00035,2026-06-24,CUST0149,Flipkart,Uttar Pradesh,Noida
ORD00036,2025-02-08,CUST0031,Flipkart,Kerala,Thiruvananthapuram
ORD00037,2026-06-06,CUST0052,Amazon,Tamil Nadu,Coimbatore
ORD00038,2026-05-19,CUST0151,Amazon,Telangana,Hyderabad
ORD00039,2025-06-18,CUST0444,Flipkart,Kerala,Kochi
ORD00040,2026-01-20,CUST0446,Amazon,Telangana,Hyderabad
ORD00041,2025-04-11,CUST0150,Amazon,Karnataka,Bengaluru
ORD00042,2026-04-06,CUST0031,Amazon,Telangana,Warangal
ORD00043,2026-03-02,CUST0475,Flipkart,Delhi,New Delhi
ORD00044,2025-08-04,CUST0093,Flipkart,Delhi,New Delhi
ORD00045,2025-02-11,CUST0390,Shopsy,West Bengal,Kolkata
ORD00046,2026-08-14,CUST0052,Amazon,Uttar Pradesh,Kanpur
ORD00047,2025-09-28,CUST0228,Flipkart,Karnataka,Mangaluru
ORD00048,2026-06-28,CUST0193,Amazon,West Bengal,Kolkata
ORD00049,2026-02-17,CUST0145,Amazon,Delhi,New Delhi
ORD00050,2026-04-19,CUST0138,Flipkart,Maharashtra,Mumbai
ORD00051,2026-04-08,CUST0216,Meesho,Delhi,New Delhi
ORD00052,2025-04-29,CUST0162,Amazon,Tamil Nadu,Chennai
ORD00053,2025-08-10,CUST0025,Flipkart,Uttar Pradesh,Noida
ORD00054,2025-10-11,CUST0005,Amazon,Uttar Pradesh,Lucknow
ORD00055,2025-10-30,CUST0121,Flipkart,Delhi,New Delhi
ORD00056,2025-01-27,CUST0003,Meesho,Kerala,Kochi
ORD00057,2025-11-29,CUST0125,Amazon,Uttar Pradesh,Kanpur
ORD00058,2025-04-04,CUST0275,Amazon,Rajasthan,Udaipur
ORD00059,2026-03-28,CUST0412,Amazon,Delhi,New Delhi
ORD00060,2026-02-20,CUST0352,Amazon,Rajasthan,Jaipur
ORD00061,2026-07-15,CUST0413,Meesho,Kerala,Thiruvananthapuram
ORD00062,2026-03-29,CUST0389,Amazon,Maharashtra,Pune
ORD00063,2025-08-11,CUST0061,Flipkart,Karnataka,Bengaluru
ORD00064,2026-08-12,CUST0046,Shopsy,Telangana,Hyderabad
ORD00065,2025-09-07,CUST0298,Amazon,Delhi,New Delhi
ORD00066,2025-07-18,CUST0010,Flipkart,Kerala,Kochi
ORD00067,2026-07-05,CUST0127,Flipkart,Kerala,Thiruvananthapuram
ORD00068,2025-08-14,CUST0339,Meesho,Telangana,Warangal
ORD00069,2025-02-16,CUST0472,Flipkart,Maharashtra,Pune
ORD00070,2025-10-13,CUST0470,Flipkart,Telangana,Warangal
ORD00071,2026-04-29,CUST0198,Meesho,West Bengal,Kolkata
ORD00072,2025-04-26,CUST0090,Amazon,Uttar Pradesh,Lucknow
ORD00073,2025-10-09,CUST0440,Flipkart,Rajasthan,Udaipur
ORD00074,2025-03-20,CUST0366,Meesho,Rajasthan,Udaipur
ORD00075,2026-02-22,CUST0050,Amazon,Rajasthan,Udaipur
ORD00076,2025-10-17,CUST0490,Flipkart,Karnataka,Bengaluru
ORD00077,2025-07-20,CUST0160,Flipkart,West Bengal,Kolkata
ORD00078,2025-05-18,CUST0034,Flipkart,Gujarat,Surat
ORD00079,2025-12-10,CUST0167,Amazon,Telangana,Hyderabad
ORD00080,2026-02-12,CUST0364,Shopsy,Karnataka,Mysuru
ORD00081,2026-07-26,CUST0377,Shopsy,Delhi,New Delhi
ORD00082,2025-09-23,CUST0093,Flipkart,Tamil Nadu,Madurai
ORD00083,2025-04-08,CUST0023,Flipkart,Tamil Nadu,Chennai
ORD00084,2026-05-22,CUST0442,Flipkart,West Bengal,Kolkata
ORD00085,2026-01-18,CUST0151,Meesho,Maharashtra,Mumbai
ORD00086,2026-03-02,CUST0471,Amazon,Gujarat,Ahmedabad
ORD00087,2025-03-01,CUST0049,Meesho,Delhi,New Delhi
ORD00088,2025-07-09,CUST0054,Amazon,Karnataka,Bengaluru
ORD00089,2026-04-12,CUST0016,Meesho,Kerala,Kochi
ORD00090,2026-05-22,CUST0449,Amazon,Maharashtra,Mumbai
ORD00091,2025-09-22,CUST0090,Flipkart,Kerala,Thiruvananthapuram
ORD00092,2026-05-05,CUST0356,Meesho,Tamil Nadu,Madurai
ORD00093,2026-05-27,CUST0149,Amazon,Rajasthan,Jaipur
ORD00094,2025-08-24,CUST0165,Meesho,Karnataka,Mangaluru
ORD00095,2026-07-01,CUST0218,Amazon,Gujarat,Surat
ORD00096,2025-06-25,CUST0242,Shopsy,Uttar Pradesh,Lucknow
ORD00097,2025-05-26,CUST0104,Amazon,Gujarat,Surat
ORD00098,2026-02-19,CUST0486,Flipkart,West Bengal,Kolkata
ORD00099,2026-01-23,CUST0094,Shopsy,West Bengal,Kolkata
ORD00100,2025-03-26,CUST0235,Amazon,Rajasthan,Jaipur
ORD00101,2026-05-22,CUST0329,Meesho,Uttar Pradesh,Noida
ORD00102,2025-05-02,CUST0462,Flipkart,Tamil Nadu,Chennai
ORD00103,2026-05-05,CUST0497,Amazon,Karnataka,Mysuru
ORD00104,2025-01-05,CUST0077,Flipkart,West Bengal,Kolkata
ORD00105,2026-04-30,CUST0300,Flipkart,West Bengal,Kolkata
ORD00106,2026-04-24,CUST0292,Meesho,Karnataka,Mangaluru
ORD00107,2026-04-20,CUST0139,Meesho,Tamil Nadu,Madurai
ORD00108,2026-02-09,CUST0198,Meesho,Rajasthan,Jaipur
ORD00109,2025-10-14,CUST0363,Flipkart,Maharashtra,Nagpur
ORD00110,2026-03-05,CUST0221,Amazon,Delhi,New Delhi
ORD00111,2025-06-18,CUST0444,Amazon,Rajasthan,Udaipur
ORD00112,2026-04-20,CUST0376,Shopsy,Maharashtra,Nagpur
ORD00113,2025-12-04,CUST0383,Amazon,Maharashtra,Mumbai
ORD00114,2025-10-07,CUST0371,Shopsy,Tamil Nadu,Madurai
ORD00115,2025-11-04,CUST0292,Shopsy,Gujarat,Surat
ORD00116,2025-12-12,CUST0489,Flipkart,Telangana,Warangal
ORD00117,2025-01-23,CUST0201,Shopsy,Karnataka,Mysuru
ORD00118,2025-03-26,CUST0273,Flipkart,Telangana,Warangal
ORD00119,2025-05-30,CUST0123,Shopsy,Telangana,Warangal
ORD00120,2025-03-11,CUST0382,Flipkart,Rajasthan,Jaipur
ORD00121,2025-09-25,CUST0145,Amazon,West Bengal,Kolkata
ORD00122,2026-02-11,CUST0329,Amazon,Delhi,New Delhi
ORD00123,2026-02-02,CUST0169,Meesho,Karnataka,Bengaluru
ORD00124,2025-10-14,CUST0388,Amazon,Maharashtra,Nagpur
ORD00125,2026-06-04,CUST0097,Amazon,Uttar Pradesh,Lucknow
ORD00126,2025-12-10,CUST0145,Shopsy,West Bengal,Kolkata
ORD00127,2025-02-18,CUST0443,Meesho,Delhi,New Delhi
ORD00128,2026-04-11,CUST0089,Flipkart,Kerala,Thiruvananthapuram
ORD00129,2025-12-16,CUST0012,Shopsy,Rajasthan,Udaipur
ORD00130,2026-01-21,CUST0089,Flipkart,Telangana,Hyderabad
ORD00131,2025-12-10,CUST0162,Flipkart,Telangana,Warangal
ORD00132,2025-12-03,CUST0118,Amazon,Delhi,New Delhi
ORD00133,2025-02-25,CUST0072,Shopsy,Kerala,Kochi
ORD00134,2025-12-06,CUST0001,Flipkart,Karnataka,Bengaluru
ORD00135,2026-04-29,CUST0074,Shopsy,Maharashtra,Mumbai
ORD00136,2025-07-04,CUST0410,Amazon,Gujarat,Ahmedabad
ORD00137,2026-01-02,CUST0129,Meesho,Rajasthan,Udaipur
ORD00138,2025-01-19,CUST0233,Flipkart,Rajasthan,Udaipur
ORD00139,2025-07-31,CUST0376,Amazon,Tamil Nadu,Coimbatore
ORD00140,2025-09-23,CUST0350,Flipkart,Karnataka,Mangaluru
ORD00141,2026-08-21,CUST0478,Shopsy,Maharashtra,Nagpur
ORD00142,2025-05-11,CUST0373,Flipkart,Tamil Nadu,Madurai
ORD00143,2025-06-18,CUST0025,Flipkart,Karnataka,
ORD00144,2025-09-06,CUST0210,Meesho,Tamil Nadu,Chennai
ORD00145,2026-08-27,CUST0193,Amazon,Gujarat,Ahmedabad
ORD00146,2026-06-03,CUST0283,Meesho,Telangana,Hyderabad
ORD00147,2025-01-22,CUST0420,Amazon,West Bengal,Kolkata
ORD00148,2025-05-23,CUST0232,Flipkart,Telangana,Hyderabad
ORD00149,2026-05-15,CUST0208,Amazon,Karnataka,Bengaluru
ORD00150,2025-02-05,CUST0326,Amazon,Gujarat,Ahmedabad
ORD00151,2026-06-05,CUST0210,Flipkart,Telangana,Hyderabad
ORD00152,2025-06-21,CUST0377,Amazon,Karnataka,Mangaluru
ORD00153,2026-07-12,CUST0310,Amazon,Delhi,New Delhi
ORD00154,2025-06-28,CUST0410,Flipkart,Rajasthan,Jaipur
ORD00155,2025-09-22,CUST0201,Amazon,Karnataka,Bengaluru
ORD00156,2026-02-07,CUST0404,Amazon,Gujarat,Surat
ORD00157,2025-03-18,CUST0403,Flipkart,Tamil Nadu,Madurai
ORD00158,2025-12-05,CUST0065,Amazon,Delhi,New Delhi
ORD00159,2025-11-04,CUST0434,Flipkart,Maharashtra,Nagpur
ORD00160,2026-04-22,CUST0402,Shopsy,Kerala,Thiruvananthapuram
ORD00161,2026-08-29,CUST0176,Meesho,Telangana,Hyderabad
ORD00162,2026-02-08,CUST0048,Amazon,Telangana,Warangal
ORD00163,2025-09-06,CUST0267,Meesho,Rajasthan,Udaipur
ORD00164,2025-09-05,CUST0053,Flipkart,Uttar Pradesh,Kanpur
ORD00165,2025-09-12,CUST0462,Flipkart,Telangana,Hyderabad
ORD00166,2026-05-10,CUST0372,Meesho,Karnataka,Mysuru
ORD00167,2025-07-15,CUST0284,Amazon,Delhi,New Delhi
ORD00168,2025-04-12,CUST0283,Amazon,Telangana,Warangal
ORD00169,2025-07-23,CUST0039,Shopsy,Tamil Nadu,Coimbatore
ORD00170,2025-01-14,CUST0195,Amazon,Gujarat,Ahmedabad
ORD00171,2025-03-06,CUST0304,Flipkart,Uttar Pradesh,Kanpur
ORD00172,2025-02-24,CUST0143,Amazon,Kerala,Kochi
ORD00173,2026-04-15,CUST0290,Meesho,Gujarat,Ahmedabad
ORD00174,2026-03-16,CUST0069,Flipkart,Maharashtra,Pune
ORD00175,2026-02-28,CUST0224,Amazon,Uttar Pradesh,Noida
ORD00176,2025-10-08,CUST0173,Amazon,Delhi,New Delhi
ORD00177,2026-03-12,CUST0488,Amazon,Delhi,New Delhi
ORD00178,2025-04-09,CUST0183,Flipkart,Telangana,Hyderabad
ORD00179,2026-07-02,CUST0331,Shopsy,Telangana,Warangal
ORD00180,2025-11-01,CUST0195,Shopsy,Gujarat,Ahmedabad
ORD00181,2026-07-25,CUST0142,Amazon,Rajasthan,Udaipur
ORD00182,2025-04-03,CUST0035,Flipkart,Uttar Pradesh,Lucknow
ORD00183,2025-10-30,CUST0396,Amazon,Maharashtra,Nagpur
ORD00184,2026-02-28,CUST0337,Amazon,Maharashtra,Nagpur
ORD00185,2025-10-29,CUST0462,Amazon,Telangana,Warangal
ORD00186,2025-09-29,CUST0486,Meesho,Kerala,Kochi
ORD00187,2025-04-12,CUST0058,Flipkart,Tamil Nadu,Coimbatore
ORD00188,2025-08-20,CUST0097,Flipkart,Gujarat,Surat
ORD00189,2025-05-26,CUST0192,Amazon,Tamil Nadu,Madurai
ORD00190,2025-07-03,CUST0025,Amazon,Tamil Nadu,Coimbatore
ORD00191,2026-02-20,CUST0313,Amazon,Gujarat,Surat
ORD00192,2026-01-19,CUST0475,Flipkart,West Bengal,Kolkata
ORD00193,2026-01-05,CUST0219,Shopsy,Tamil Nadu,Coimbatore
ORD00194,2025-08-08,CUST0327,Meesho,Telangana,Hyderabad
ORD00195,2026-08-07,CUST0361,Amazon,Tamil Nadu,Madurai
ORD00196,2025-02-23,CUST0016,Flipkart,Gujarat,Ahmedabad
ORD00197,2025-07-28,CUST0461,Flipkart,Delhi,New Delhi
ORD00198,2025-03-13,CUST0360,Amazon,Rajasthan,Udaipur
ORD00199,2025-07-26,CUST0142,Shopsy,Delhi,New Delhi
ORD00200,2026-08-08,CUST0374,Meesho,Kerala,Thiruvananthapuram
ORD00201,2025-08-11,CUST0316,Flipkart,Kerala,Thiruvananthapuram
ORD00202,2026-07-07,CUST0353,Shopsy,West Bengal,Kolkata
ORD00203,2025-10-28,CUST0407,Flipkart,West Bengal,Kolkata
ORD00204,2026-03-02,CUST0299,Amazon,Delhi,New Delhi
ORD00205,2025-10-06,CUST0113,Meesho,West Bengal,Kolkata
ORD00206,2025-06-11,CUST0165,Amazon,Tamil Nadu,Chennai
ORD00207,2026-04-10,CUST0088,Flipkart,Rajasthan,Udaipur
ORD00208,2026-08-13,CUST0354,Amazon,Tamil Nadu,Chennai
ORD00209,2025-06-10,CUST0291,Meesho,Delhi,New Delhi
ORD00210,2026-04-19,CUST0121,Flipkart,Kerala,Kochi
ORD00211,2025-06-08,CUST0360,Flipkart,Delhi,New Delhi
ORD00212,2026-03-12,CUST0183,Amazon,Maharashtra,Mumbai
ORD00213,2026-04-25,CUST0451,Flipkart,Rajasthan,Jaipur
ORD00214,2025-10-01,CUST0315,Flipkart,Karnataka,Mangaluru
ORD00215,2026-03-25,CUST0417,Shopsy,West Bengal,Kolkata
ORD00216,2025-06-15,CUST0246,Flipkart,Gujarat,Ahmedabad
ORD00217,2025-02-18,CUST0495,Meesho,Rajasthan,Udaipur
ORD00218,2025-02-28,CUST0386,Meesho,Maharashtra,Nagpur
ORD00219,2025-09-29,CUST0315,Flipkart,Rajasthan,Jaipur
ORD00220,2026-07-03,CUST0315,Amazon,Tamil Nadu,Chennai
ORD00221,2025-03-19,CUST0490,Meesho,Rajasthan,Jaipur
ORD00222,2025-10-05,CUST0500,Meesho,Rajasthan,Jaipur
ORD00223,2026-03-05,CUST0133,Flipkart,Uttar Pradesh,Noida
ORD00224,2025-05-04,CUST0418,Amazon,Telangana,Warangal
ORD00225,2026-03-15,CUST0449,Amazon,Kerala,Kochi
ORD00226,2025-07-06,CUST0374,Flipkart,Telangana,Hyderabad
ORD00227,2026-05-07,CUST0206,Flipkart,Maharashtra,Pune
ORD00228,2025-12-19,CUST0327,Flipkart,Maharashtra,Nagpur
ORD00229,2025-11-29,CUST0044,Meesho,Karnataka,Bengaluru
ORD00230,2025-04-18,CUST0093,Flipkart,Tamil Nadu,Chennai
ORD00231,2025-10-09,CUST0454,Meesho,Rajasthan,Jaipur
ORD00232,2026-06-05,CUST0257,Shopsy,Tamil Nadu,Chennai
ORD00233,2025-01-12,CUST0424,Flipkart,Delhi,New Delhi
ORD00234,2026-04-07,CUST0320,Meesho,Maharashtra,Nagpur
ORD00235,2025-10-27,CUST0426,Meesho,Uttar Pradesh,Noida
ORD00236,2026-03-14,CUST0434,Amazon,Karnataka,Mangaluru
ORD00237,2026-02-08,CUST0065,Meesho,Rajasthan,Udaipur
ORD00238,2025-09-20,CUST0221,Shopsy,Rajasthan,Udaipur
ORD00239,2025-07-07,CUST0411,Meesho,Rajasthan,Jaipur
ORD00240,2026-01-17,CUST0253,Flipkart,Telangana,Warangal
ORD00241,2025-03-27,CUST0124,Meesho,Uttar Pradesh,Kanpur
ORD00242,2025-12-22,CUST0095,Meesho,Gujarat,Surat
ORD00243,2025-02-27,CUST0459,Shopsy,Rajasthan,Udaipur
ORD00244,2026-01-31,CUST0036,Flipkart,West Bengal,Kolkata
ORD00245,2026-01-18,CUST0306,Flipkart,Gujarat,Surat
ORD00246,2025-02-21,CUST0468,Meesho,Tamil Nadu,Coimbatore
ORD00247,2026-04-06,CUST0282,Flipkart,Rajasthan,Jaipur
ORD00248,2025-09-10,CUST0433,Amazon,Telangana,Warangal
ORD00249,2026-04-24,CUST0434,Meesho,Tamil Nadu,Coimbatore
ORD00250,2025-01-26,CUST0390,Amazon,Delhi,New Delhi
ORD00251,2025-04-20,CUST0356,Flipkart,Delhi,New Delhi
ORD00252,2025-10-28,CUST0239,Flipkart,Gujarat,Ahmedabad
ORD00253,2025-04-25,CUST0445,Meesho,Tamil Nadu,Chennai
ORD00254,2025-07-20,CUST0071,Shopsy,Gujarat,Ahmedabad
ORD00255,2026-02-06,CUST0167,Amazon,Uttar Pradesh,Kanpur
ORD00256,2025-03-29,CUST0061,Amazon,Karnataka,Bengaluru
ORD00257,2026-02-17,CUST0067,Meesho,Karnataka,Bengaluru
ORD00258,2025-03-04,CUST0442,Flipkart,Delhi,New Delhi
ORD00259,2025-04-17,CUST0224,Flipkart,Rajasthan,Jaipur
ORD00260,2025-12-24,CUST0399,Amazon,Maharashtra,Pune
ORD00261,2026-04-28,CUST0422,Amazon,Tamil Nadu,Madurai
ORD00262,2025-04-14,CUST0109,Meesho,Telangana,Warangal
ORD00263,2025-07-02,CUST0143,Flipkart,Tamil Nadu,Chennai
ORD00264,2026-07-17,CUST0347,Meesho,Maharashtra,Mumbai
ORD00265,2026-08-25,CUST0499,Amazon,Karnataka,Mysuru
ORD00266,2025-12-20,CUST0423,Amazon,Kerala,Thiruvananthapuram
ORD00267,2025-09-29,CUST0042,Flipkart,Delhi,New Delhi
ORD00268,2025-07-30,CUST0301,Meesho,Gujarat,Surat
ORD00269,2026-01-08,CUST0241,Shopsy,Gujarat,Surat
ORD00270,2025-12-26,CUST0257,Shopsy,Delhi,New Delhi
ORD00271,2025-06-29,CUST0109,Amazon,Delhi,New Delhi
ORD00272,2025-01-14,CUST0108,Amazon,Gujarat,Surat
ORD00273,2025-04-03,CUST0314,Amazon,Maharashtra,Pune
ORD00274,2026-08-06,CUST0077,Meesho,Delhi,New Delhi
ORD00275,2025-09-12,CUST0247,Meesho,Uttar Pradesh,Noida
ORD00276,2025-10-21,CUST0132,Flipkart,West Bengal,Kolkata
ORD00277,2025-10-12,CUST0201,Meesho,Telangana,Warangal
ORD00278,2026-04-21,CUST0225,Shopsy,Uttar Pradesh,Noida
ORD00279,2025-02-09,CUST0274,Flipkart,West Bengal,Kolkata
ORD00280,2025-02-20,CUST0340,Flipkart,West Bengal,Kolkata
ORD00281,2025-06-17,CUST0095,Meesho,Maharashtra,Pune
ORD00282,2025-10-23,CUST0159,Amazon,Karnataka,Mangaluru
ORD00283,2026-02-13,CUST0033,Amazon,Tamil Nadu,Madurai
ORD00284,2025-10-26,CUST0338,Flipkart,West Bengal,Kolkata
ORD00285,2025-09-26,CUST0402,Shopsy,Delhi,New Delhi
ORD00286,2026-07-25,CUST0452,Flipkart,Maharashtra,Pune
ORD00287,2025-04-08,CUST0480,Flipkart,Maharashtra,Nagpur
ORD00288,2025-12-14,CUST0053,Amazon,Rajasthan,Jaipur
ORD00289,2025-11-26,CUST0272,Flipkart,Telangana,Hyderabad
ORD00290,2025-10-15,CUST0356,Amazon,Kerala,Kochi
ORD00291,2026-05-07,CUST0228,Flipkart,Tamil Nadu,Coimbatore
ORD00292,2025-06-12,CUST0463,Amazon,Kerala,Thiruvananthapuram
ORD00293,2026-08-03,CUST0437,Amazon,Gujarat,Surat
ORD00294,2025-07-21,CUST0276,Amazon,Uttar Pradesh,Lucknow
ORD00295,2025-11-28,CUST0241,Flipkart,West Bengal,Kolkata
ORD00296,2025-11-13,CUST0355,Meesho,Gujarat,Ahmedabad
ORD00297,2026-06-01,CUST0362,Flipkart,Maharashtra,Nagpur
ORD00298,2025-09-24,CUST0185,Amazon,Rajasthan,Jaipur
ORD00299,2025-06-23,CUST0261,Shopsy,Delhi,New Delhi
ORD00300,2025-01-14,CUST0426,Amazon,Telangana,Hyderabad
ORD00301,2025-08-10,CUST0272,Shopsy,Karnataka,Mangaluru
ORD00302,2026-05-18,CUST0338,Amazon,West Bengal,Kolkata
ORD00303,2025-01-07,CUST0071,Meesho,Delhi,New Delhi
ORD00304,2026-06-29,CUST0159,Flipkart,Karnataka,Mangaluru
ORD00305,2025-11-27,CUST0142,Flipkart,Telangana,Warangal
ORD00306,2025-03-27,CUST0272,Amazon,Maharashtra,Nagpur
ORD00307,2025-07-03,CUST0271,Flipkart,Tamil Nadu,Coimbatore
ORD00308,2025-12-03,CUST0165,Flipkart,West Bengal,Kolkata
ORD00309,2025-07-11,CUST0229,Flipkart,Tamil Nadu,Coimbatore
ORD00310,2025-03-08,CUST0317,Amazon,Tamil Nadu,Coimbatore
ORD00311,2026-02-09,CUST0392,Shopsy,Maharashtra,Mumbai
ORD00312,2026-02-13,CUST0452,Meesho,West Bengal,Kolkata
ORD00313,2025-03-14,CUST0492,Shopsy,Gujarat,Surat
ORD00314,2025-06-20,CUST0096,Shopsy,Rajasthan,Jaipur
ORD00315,2025-05-29,CUST0002,Amazon,Maharashtra,Nagpur
ORD00316,2026-02-05,CUST0104,Amazon,Tamil Nadu,Coimbatore
ORD00317,2026-03-21,CUST0023,Flipkart,Uttar Pradesh,Lucknow
ORD00318,2026-03-19,CUST0494,Flipkart,Karnataka,Mangaluru
ORD00319,2026-07-25,CUST0432,Meesho,Maharashtra,Mumbai
ORD00320,2026-04-13,CUST0354,Amazon,Uttar Pradesh,Kanpur
ORD00321,2025-07-14,CUST0196,Amazon,Delhi,New Delhi
ORD00322,2025-03-07,CUST0201,Flipkart,Telangana,Hyderabad
ORD00323,2026-01-09,CUST0234,Flipkart,Delhi,New Delhi
ORD00324,2026-07-11,CUST0107,Shopsy,Gujarat,Ahmedabad
ORD00325,2026-08-16,CUST0248,Amazon,Karnataka,Mysuru
ORD00326,2025-05-20,CUST0304,Meesho,Uttar Pradesh,Lucknow
ORD00327,2025-05-24,CUST0171,Amazon,Uttar Pradesh,Noida
ORD00328,2025-01-23,CUST0089,Flipkart,Gujarat,Surat
ORD00329,2025-03-27,CUST0133,Amazon,Uttar Pradesh,Noida
ORD00330,2025-12-04,CUST0097,Flipkart,Tamil Nadu,Chennai
ORD00331,2025-11-29,CUST0164,Amazon,Telangana,Hyderabad
ORD00332,2025-08-14,CUST0023,Shopsy,Gujarat,Surat
ORD00333,2025-07-08,CUST0383,Meesho,Rajasthan,Jaipur
ORD00334,2026-05-20,CUST0358,Meesho,Delhi,New Delhi
ORD00335,2025-10-07,CUST0498,Meesho,Karnataka,Mangaluru
ORD00336,2026-05-07,CUST0335,Amazon,West Bengal,Kolkata
ORD00337,2026-08-09,CUST0049,Amazon,Kerala,Kochi
ORD00338,2025-07-12,CUST0213,Shopsy,Telangana,Warangal
ORD00339,2025-05-04,CUST0213,Amazon,Kerala,Thiruvananthapuram
ORD00340,2026-08-03,CUST0384,Amazon,Telangana,Warangal
ORD00341,2026-01-21,CUST0483,Meesho,Gujarat,Ahmedabad
ORD00342,2025-06-26,CUST0290,Shopsy,Karnataka,Mangaluru
ORD00343,2026-01-14,CUST0084,Amazon,Telangana,Warangal
ORD00344,2025-11-10,CUST0007,Meesho,Telangana,Warangal
ORD00345,2026-07-05,CUST0190,Meesho,Tamil Nadu,Chennai
ORD00346,2025-06-05,CUST0131,Amazon,Tamil Nadu,Madurai
ORD00347,2026-08-26,CUST0236,Flipkart,Telangana,Warangal
ORD00348,2026-07-24,CUST0158,Flipkart,Rajasthan,Udaipur
ORD00349,2025-04-20,CUST0173,Shopsy,Gujarat,Surat
ORD00350,2025-04-11,CUST0227,Flipkart,West Bengal,Kolkata
ORD00351,2025-11-21,CUST0127,Meesho,Kerala,Thiruvananthapuram
ORD00352,2025-01-28,CUST0223,Meesho,Maharashtra,Pune
ORD00353,2025-07-01,CUST0245,Shopsy,Kerala,Thiruvananthapuram
ORD00354,2025-09-22,CUST0234,Flipkart,Uttar Pradesh,Noida
ORD00355,2026-08-13,CUST0185,Amazon,Delhi,New Delhi
ORD00356,2026-08-27,CUST0123,Flipkart,Telangana,Warangal
ORD00357,2025-04-03,CUST0145,Flipkart,Uttar Pradesh,Kanpur
ORD00358,2026-06-27,CUST0397,Amazon,Uttar Pradesh,Kanpur
ORD00359,2025-02-25,CUST0222,Amazon,Kerala,Kochi
ORD00360,2026-04-01,CUST0362,Shopsy,Gujarat,Ahmedabad
ORD00361,2026-05-30,CUST0023,Shopsy,Gujarat,Surat
ORD00362,2026-06-26,CUST0376,Shopsy,Rajasthan,Jaipur
ORD00363,2025-05-16,CUST0352,Amazon,Telangana,Warangal
ORD00364,2026-06-28,CUST0098,Amazon,Karnataka,Bengaluru
ORD00365,2025-03-12,CUST0020,Meesho,West Bengal,Kolkata
ORD00366,2025-11-12,CUST0106,Meesho,Uttar Pradesh,Kanpur
ORD00367,2025-10-13,CUST0394,Amazon,Kerala,Kochi
ORD00368,2025-07-12,CUST0498,Amazon,Kerala,Thiruvananthapuram
ORD00369,2025-01-14,CUST0177,Amazon,Maharashtra,Nagpur
ORD00370,2026-04-15,CUST0249,Shopsy,Rajasthan,Udaipur
ORD00371,2025-07-24,CUST0494,Amazon,Tamil Nadu,Coimbatore
ORD00372,2026-02-07,CUST0249,Flipkart,Gujarat,Ahmedabad
ORD00373,2025-09-07,CUST0070,Flipkart,Kerala,Kochi
ORD00374,2025-08-16,CUST0185,Flipkart,Kerala,Thiruvananthapuram
ORD00375,2026-06-23,CUST0004,Amazon,Gujarat,Surat
ORD00376,2025-02-27,CUST0045,Amazon,Kerala,Kochi
